name,about_the_space,price,saves,link,location
"Multi-level 25,000 Sq Ft Venue With Rooftop Lounge & Deck","Modern event venue offering a Main Ballroom, Mezzanine overlooking the Ballroom, Rooftop Lounge, Outdoor Deck, and Kitchen.

Ballroom: 5,000 sq. ft. with 30' wide by 15' Video Wall, 20' ceiling height, 2 (40ft) built in bars, (8) 60"" wall mounted Plasmas, (26) rigging points that accommodate up to 3,000 pound each.

Mezzanine: 2,250 sq. ft. overlooking the ballroom, 21' built in bar, (3) 60"" mounted plasmas mounted behind the bar. two furnished green rooms with bathroom & shower.

Rooftop Lounge: 1,800 sq. ft., 30' built in bar, (4) 60"" wall mounted plasmas & (1) 65"" wall mounted plasma.  Floor to ceiling windows providing natural light.

Rooftop Outdoor Deck: 1,400 sq. ft. with views of Manhattan skyline.

Kitchen: 1,500 sq. ft.",2500,2,https://www.peerspace.com/pages/listings/594039f496f7bb0b004f44ca,"Long Island City, Queens County, NY"
Bright Street Gallery Space In Tribeca,"A bright 750 square foot gallery space is available Thursday - Sundays for art exhibits, product launches, and networking events. We can also accommodate multi-week and month long art gallery events, so please inquire.

We can provide catering services if you'd like.",125,2,https://www.peerspace.com/pages/listings/590268397095140a00a8fe59,"Lower Manhattan, New York, NY"
Large Duplex Townhouse In Cobble Hill,"Our large, 1,800 square foot, 3 bedroom/2 bath is available for rent. It is located in a family-owned townhouse in the most convenient, residential area of treelined Cobble Hill (near 9 trains and very near lower Manhattan).

*Available for rent along with another 1.5 bedroom unit in the same building w/ a large garden:  https://www.peerspace.com/pages/listings/58d2a5b66191d20b00479a54 

Features: a roofdeck with treetop & city views, 18’ ceilings, skylights, terrace, fireplace, exposed brick, whitewashed floor, renovated marble baths/kitchen, a rustic, modern, eclectic design, and gracious layouts across 2 wide and spacious floors.

First Floor:
- 25’ x 46 ‘  floor w/  double height ceilings on half the floor, on 3rd floor of the townhouse 
- Northern and southern exposures + 3 skylights, black out shade in smaller bedroom, blacking out skylights will be easy to do through roof access 
- Spacious and comfortable open dining / kitchen / living layout 
- 18' high ceilings w/ the mezzanine / office of the second level perched above
- Two good sized bedrooms  all marble bath w/ tub / shower w/ glass door

Second  Floor:  
- 25 x 25’  floor  on the floor of townhouse 
- Mezzanine / office overlooking the lower level
- Huge master suite w/ exposed brick, walk in closet
- All marble bath w/ glass door rain shower, large soaking tub and radiant heated floors. 
- Windowed laundry room 
- Spiral steps up to the roof deck.  

Roof:
- Deck is approx 240 square feet
- Roof dimensions are  25’ x  46’ 

NOTE ON FURNITURE AND PICS:
We have some furniture alternatives in the garden level and the basement that you may pull from for your shoot including couches, coffee tables, arm chairs, beds, accent pieces and more.  

Until we take new pics please note these differences between the current furniture and the pics.   

- Smaller room downstairs w/ brick wall  - shown in pics w/ a queen bed now had  (2) modern-rustic twin beds 
- Larger room  w/ yellow wallpaper - shown  in 2 pics w/ a queen or 2 cribs - now has a queen bed w/ a white dresser, side tables, and shelves   (it’s set up as a playroom)
- Living room - TV console is different (just TV mounted over a white floating shelf) + there are new side tables and a coffee table. 

GARDEN: 
The garden is usually available as an add-on for an additional price, see pics in this listing and inquire on availability. 

NEIGHBORHOOD:
- Grocers, 'old school' butchers, boutiques, restaurants, bars just steps away on Smith Street, Court Street, Atlantic Avenue  
- Near Brooklyn Bridge Park, Barclay Center. 
- On edge of Boerum Hill on border of Cobble Hill, Carroll Gardens and Downtown Brooklyn  giving you access to all neighborhoods shops & subways  w/in a minutes walk.  

Easily get to your destination in Manhattan from downtown to Central park in 5-30 minutes once your are on the train!

Also available in same townhouse: 
-- 2 Bedroom with terrace and fireplace --
https://www.peerspace.com/app/ps#s=listing-draft&p1=595908956970562000d618b7

-- 1.5 bedroom with large garden, fireplace, exposed brick --
https://www.peerspace.com/pages/listings/58d2a5b66191d20b00479a54",400,11,https://www.peerspace.com/pages/listings/593e8ce596f7bb0b004f37a2,"Boerum Hill, Kings County, NY"
Garden-level Townhouse Apartment In Convenient Cobble Hill,"Garden level apartment in townhouse on 25’ wide floor w/ large garden located in convenient Cobble Hill /  Boerum Hill neighborhood in Brooklyn. 

Open living/ kitchen layout, 1.5 bdrms / 1 bath spread across a spacious 1000 sf floor ( 25' wide x 46' deep) plus a large 1000sf  garden (25’ x 50’).

The open living/ dining / kitchen area has a working brick fireplace, and sliding doors leading out to the garden.  Northern exposures out of the kitchen window and sliding doors to the garden. Direct sunlight comes in first few hour after sunrise, then it's medium to low natural light for the rest of the day.  

The large master bedroom (approx 15' x 14') is on the other side of the apartment w/ two large windows and southern exposures letting in medium to high natural light all day.  

The white marble bathroom has 2  doors, one into master and one into hallway, giving more flexibility for shots in the bathroom, master bedroom and hallway.  The bath has a washer / dryer behind the entry door from the hallway, to the left of the toilet that is not pictured.  

The large 1000 sf garden has synthetic and real looking grass 365 days a year grass.  There is an elevated area in the back giving good dimension to the space.

Also available in same townhouse: 
-- 3 bed / 2 bath with rooftop, 18’ ceilings, exposed brick --
https://www.peerspace.com/pages/listings/593e8ce596f7bb0b004f37a2

-- 2 Bedroom with terrace and fireplace --
https://www.peerspace.com/app/ps#s=listing-draft&p1=595908956970562000d618b7",300,9,https://www.peerspace.com/pages/listings/58d2a5b66191d20b00479a54,"Boerum Hill, Kings County, NY"
Premier Production Space,"This bright and spacious venue seats 120 guests and accommodates up to 200 in a cocktail setting. It features a full bar, wooden dance floor, and gorgeous chandeliers. Ideal for your productions, corporate and social events, and also educational or creative workshops. It is perfect for wedding receptions and is in fact coveted for such celebrations as well as anniversaries, birthday celebrations, and other parties.

Conveniently located along Middle Neck Road with plenty of parking space for guests, it's easy to see why this is a popular spot among event planners. Tables and chairs are included and can be easily moved according to your specifications. Its surrounding area is pleasant complete with banks, grocery for supplies, and a public park. Local taxis are available on call for easy transportation. Premier Production Space is closed on Saturdays.",250,1,https://www.peerspace.com/pages/listings/58f03c296191d20b004827a9,"None, Great Neck, NY"
Flexible Flatiron Production Office,"We provide very cool, yet professional, office space and meeting rooms to hundreds of companies in NYC. We are currently in the Flatiron and Chelsea areas. We are home to many start ups and established companies. We provide offices and meeting rooms on an hourly/daily/monthly basis for any size group with access to common areas, cafes, lounges etc. We are trying to change the way people feel about where they work.",50,29,https://www.peerspace.com/pages/listings/57967c7da2326e160048e77b,"Midtown, New York, NY"
"Cobble Hill Townhouse W/ Terrace, Exposed Brick & Fireplace","Second level apartment in townhouse on 25’ wide floor w/ terrace, fireplace and exposed brick, located in convenient Cobble Hill / Boerum Hill neighborhood in Brooklyn.   

(**May be rented in conjunction with 2 other apartments in same townhouse, garden and roof-deck access, please check other listings on my profile for more details.**)

Open living/ kitchen layout, 2 bdrms / 1 bath spread across a spacious 1000 square foot floor ( 25' wide x 46' deep) plus a small 4’x6’ terrace. 

The open living/ dining / kitchen area has a working brick fireplace in addition to sliding doors that lead out to the terrace, which overlooks a green garden below. Northern exposures out of the kitchen window and sliding doors to the terrace. Direct sunlight comes in the first few hour after sunrise, and again toward sunset. It's medium to low natural light for the rest of the day. 

On the other side of the floor are the large master bedroom with 2 windows (approx 11’ x 14') and smaller second bedroom (9’x10’) with one window and exposed brick letting in medium to high natural light all day. 

The newly renovated bath features subway tile, a large soaking tub, a rustic wood vanity with marble top and a full sized washer / dryer.  There are 2 doors into the bath, one into master and one into hallway, giving more flexibility for shots in the bathroom, master bedroom and hallway.

Also available in same townhouse: 
-- 3 bed / 2 bath with rooftop, 18’ ceilings, exposed brick --
https://www.peerspace.com/pages/listings/593e8ce596f7bb0b004f37a2

-- 1.5 bedroom with large garden, fireplace, exposed brick --
https://www.peerspace.com/pages/listings/58d2a5b66191d20b00479a54",250,7,https://www.peerspace.com/pages/listings/595908956970562000d618b7,"Boerum Hill, Kings County, NY"
Urban - Exposed Brick - 2 Br Modern Apartment,"A beautifully decorated spacious apartment near Prospect Park in Brooklyn. This large apartment fits up to 6 people! Located in an ethnically diverse neighborhood, Flatbush mixes easy accessibility with down-to-earth amiability.

Upon booking, guests will receive detailed instructions to make your stay as comfortable as possible. I will check you in upon your arrival. At check-out, you can leave the keys inside of the apartment.",125,13,https://www.peerspace.com/pages/listings/5914cc1c7095140a00a94633,"Flatbush - Ditmas Park, Kings County, NY"
"Large, Luxury 2br Modern Apartment","A 1000SQ FT, 2 Bedroom, Luxury, Modern condominium in Brooklyn.


INCLUDES 

The Living Room 
Mounted TV


The Kitchen
Open-kitchen layout
Stainless steel appliances (microwave, full gas stove and oven, dishwasher)


The Bedrooms
2 Bedrooms


The Bathroom
Modern bathroom with jacuzzi

TRANSPORTATION
Located blocks from the G, M, Z and J trains
Free parking on street",125,24,https://www.peerspace.com/pages/listings/5845f8987d05ad1600ce0941,"Bedford-Stuyvesant, Kings County, NY"
Large Luxury 2 Bedroom Urban Apartment W/ Exposed Brick - 1000 Sq Ft,"THE SPACE

A 1000SQ FT, classic 2 Bedroom, Luxury Brownstone condominium in Historic, Stuyvesant Heights Brooklyn.

This space is a fully renovated two bedroom suite nestled in the heart of land marked Stuyvesant Heights, an enclave of Bedford Stuyvesant in Brooklyn!

INCLUDES 

The Living Room & Dining Room
Vintage chic furniture
Mounted TV
Exposed Brick
Working Fireplace

The Kitchen
Open-kitchen layout
Granite counter top
Stainless steel appliances (microwave, full gas stove and oven, dishwasher)


The Bedrooms
2 Bedrooms
Mounted TVs

The Bathroom
Modern bathroom with a vessel sink and jacuzzi

TRANSPORTATION
Located 3 blocks from the A/C Train
Free parking on street",125,31,https://www.peerspace.com/pages/listings/56900a895c22be06005df72a,"Bedford-Stuyvesant, Kings County, NY"
"Luxury 2 Br, Urban Modern Apartment","2 bedroom suite in a Beautifully Renovated, condo in Bedford-Stuyvesant Brooklyn. 

Located on the border of Bedford-Stuyvesant and Williamsburg, two of Brooklyn's most exciting neighborhoods, my spacious apartment is a sun drenched urban retreat.


Manhattan is 15 minutes away by car and 30 minutes away by subway (J, Z, C trains).

There are also many bus routes on the corner of the apartment.",125,21,https://www.peerspace.com/pages/listings/5845f6827d05ad1600ce0928,"Bedford-Stuyvesant, Kings County, NY"
Beautiful Brooklyn Yoga Studio With Hardwood Floors And Exposed Brick,"We have a great space with lots of natural light, exposed brick and wood floors. There is a lot of filming in the area due to easy street parking and amazing city views. The ground floor space is 800 square feet with a 400 square foot changing room in the basement.",175,1,https://www.peerspace.com/pages/listings/580bd61453eb170900b83612,"Williamsburg, Kings County, NY"
Focus Group Facility And Conference Rooms In Flatiron,"Our facility is located near steps away from the historic Flatiron building and Madison Square park.

The facility features two conference rooms, often used for Focus Groups during Market Research studies and Product testing.  The larger room comfortably seats 15 people, and the other conference seats approximately 8 people.  Both rooms include A/V recording typically used for recording group discussions.  Phone, Internet and Teleconferencing and Focus Vision capabilities are available at an additional cost.

Each room has an adjoining Observation Room with one-way mirrors and seating.

We are located between Park Avenue and Broadway with easy access to public transportation, and a parking garage located next door (not included in Facility rate).",100,1,https://www.peerspace.com/pages/listings/590797ee7095140a00a90e28,"Midtown, New York, NY"
Recording Studio In Converted Factory,"Post-production audio suite with voice over booth offering recording, sound design and mixing. The studio is based in a gorgeous industrial-chic co-working space. Just two blocks from the F and G trains, Gowanus in Brooklyn offers the perfect balance of industrial, residential and recreational needs with fantastic bars and restaurants just blocks away should you need it.

The space includes a host sound engineer to run any session you book using Pro Tools 11 and a voice over booth. Using Source-Connect and ipDTL you can connect to any studio, client or voice talent on the world!

Free coffee and beer can't be bad either!

Please note:

Overtime rates are at 1.5x the hourly rate.
Business hours are Mon-Fri 10am-6pm.",175,10,https://www.peerspace.com/pages/listings/5845e30f7d05ad1600ce0900,"Gowanus, Kings County, NY"
"Sunny, Spacious, Modern, 2 Bd Apartment","2 Bedroom apartment in Williamburg, Brooklyn

I have a spare bedroom which may be occupied in my walk up apartment. 
Living room: Equipped with a 60 inch 4K TV, Record player, Canary security, Apple TV, and Amazon Echo. Lights are voice controlled. 
Dining room: expandable table, seats 6+ people. Voice controlled lights. Bar cart. 
Bathroom: it has a toilet! Tub shower and a Bluetooth speaker... 
Bedroom: Queen size bed, small desk, drawers, pics available on request 
Both bedrooms have closets. 
Apartment is located dead between the following stops: L, G, M, J, Z. Prime Williamsburg location. It's 3 blocks from a Key Food for generic grocery, 3 blocks from Brooklyn Harvest for organic-y stuff. 2 blocks from 24 hour Walgreens. 50 feet away from 24 hour Deli. Basically every genre of restaurant and bar nearby.

Space should be used for filming. All areas would be available.",125,0,https://www.peerspace.com/pages/listings/593fcec196f7bb0b004f4123,"Williamsburg, Kings County, NY"
Spacious And Light In Williamsburg,"Light wood floors and white walls throughout.  Two floors, small deck, bathrooms, office, projector screen.  Perfect for shoots and events if you're in this part of Williamsburg.  2400 square feet between smaller basement and larger first floor.  Fully customizable, chairs, desks, other equipment available.",120,2,https://www.peerspace.com/pages/listings/58127f5c89c65d1600ae45a4,"Williamsburg, Kings County, NY"
Tribeca Historic Warehouse,"We are a fine arts logic company. This space is one of three warehouses we use throughout the city. This space is used as an office, a transport hub, and as a viewing space for artwork. It is a beautiful, classic TriBeCa warehouse, with brick arched doorways, cast iron columns and wood beams. The space allows for truck to offload equipment and is easily accessed by public transportation.",200,4,https://www.peerspace.com/pages/listings/589b35a7dfaf8f0a00a1fd3f,"Lower Manhattan, New York, NY"
Soundproof Studio/production Space,"Our studio is an independently owned video production space located in Greenpoint Brooklyn. We offer a dedicated, comfortable, and affordable working space, perfectly suited for smaller size productions and ideally geared for interviews. The 900sq ft stage is sound hardened and includes a selection of props. Greenscreen, Lighting, Audio and Camera packages are all available upon request. ",125,8,https://www.peerspace.com/pages/listings/564d4febb43bee0600ff3648,"Greenpoint, Kings County, NY"
"Studio One: Photo Studio - Perfect For Quick, No Hassle Client Appointments","We manage multiple properties and if this one doesn't work, please feel free to contact us about our others. 

****Please message before booking!****

Bright space that is perfect for a smaller photo shoot. 

+ Ideal for entrepreneurs looking to take photos of their designs or clothing for web ready photos. 
+ Perfect for photographers looking to shoot one a few models or headshots
+ Small off-site events
+ Trunk Shows

This space is in a 4th floor walk-up. Please pack accordingly!

If you have any questions, please ask before booking.",50,13,https://www.peerspace.com/pages/listings/58fea75e6191d20b00485705,"Midtown, New York, NY"
Breathtaking Rooftop Herb Garden - Stunning City Views,"Your rental includes our state-of-the-art indoor event space that opens up on a luxurious private terrace and a breath-taking Rooftop Herb Garden...what more could you want? (except to book it, like, now!) 

Located inside one of NYC's leading food and nutrition non-profit organizations, your payment supports our crucial mission to provide free, nutritious, individually-tailored meals to people living with severe illness. 

___________________________________________________________________________________________

PRICING : Rented times MUST include time needed to setup (including catering arrival) and breakdown & clean the venue. Our building must be closed and in a broom-clean condition by 11pm. We have a 2 hr minimum.

Weekday (Mon-Fri)
$500 / hr
6am-4pm

Weeknight (Mon-Fri)
$750 / hr
4pm-11pm

Weekend (Sat & Sun)
$900 / hr
6am - 11pm
___________________________________________________________________________________________

SQUARE FEET:
1280 sqft inside; 2100 sqft terrace; 2600 sqft rooftop garden

CAPACITY:
Standing (5th Floor and Roof combined) - 230
Seated (in-house furniture) - 120 theatre; 100 banquet
Seated (rented chairs) - 140 theatre; 20 banquet

ACCESS: 
1st Floor Entrance and Receptionist on NE corner of Spring and 6th
Elevator
Loading Dock (11am-3pm)
Handicap Accessible
Private Nursing Room Available 

SUBWAY:
A,C,E to Spring
1 to Houston

PARKING:
Local parking garages and neighborhood street parking

HOURS: 
Monday - Sunday (8am-11pm) 

CATERING
We have an exclusive caterer, Canard Inc. A $2,500 buy-out fee is required for outside catering, as well as Liquor License and COI. Drop- off catering is allowed for meetings and approved on a case-by-case basis for smaller parties. If approved, you may be required to hire additional Event Staff to maintain the venue. 

LIQUOR POLICY: 
All alcohol served in our building must be purchased and served by Canard. NO BYOB.

WHAT'S INCLUDED? (ummm..EVERYTHING!)
1280 sqft of Flexible Indoor Event Space
Beautiful 360-Degree Rooftop Herb Garden
Private Luxury Terrace With Infinity Fountain, Lounge Tables, Chairs, And Music
State-Of-The-Art Demonstration Kitchen w/ WOLF Cooking Range, Subzero Refrigerators
Dedicated On-Site Meeting Planner
AC/Heating
Extendable Air- Wall For Extra Privacy
Catering Room
Dry Storage Galley (votives, vases, candles, etc.)
2 Coat Closets w/125 hangers
4 Private Restrooms
2 Portable Wardrobe racks and Coat Tags for Coat Check

TECHNOLOGY 
Built-In Audio (Spotify, Pandora, Sonos)
6ft Flat Screen TV
11ft Drop-Down Projector Screen W/2 Clickers
2 Live Stream TV Monitors over Demo Kitchen
Floor-To-Ceiling Automatic Blackout Shades
Built-in Teleconferencing
3 Microphones (1 Lapel And 2 Handheld)
1 Microphone Stand
Built-in Meeting and Presentation Lighting Settings
Up-lighting System with Various Colors
WiFi

TABLES / CHAIRS 
17 Rectangular Conference Tables (3ft X 6ft)
80 Black Conference Chairs
100 Black Reception Chairs
8 30’’ Hi-top Round Cocktail Tables
6 60'' Round Banquet Tables
5 72'' Round Banquet Tables
2 Bar Stools
4 Large Red Lounge Chairs
1 Directors Stool

OFFICE/ PRESENTATION MATERIALS
1 Podium
Table Tent Holders
4 Dry Erase Board Easels, Sharpies and Large Post-Its
Additional conference rooms *

COMPLIMENTARY SERVICES
Set-up and Tear-down (in-house furniture)
Janitorial Service (Trash, Vacuum, Wiping Tables)
On-Site AV Assistance
Drop-Off Catering Management
Administrative Support 

ADD-ONS
House Tablecloths- $15 / each
Coffee and Tea Bar- $5.00 pp
Additional conference rooms- $50 /each
Catering Buy-Out - $2,500",375,14,https://www.peerspace.com/pages/listings/57926a3aa2326e160048e032,"Lower Manhattan, New York, NY"
Downtown Loft Fitness Studio,"Boutique fitness studio with award-winning Barre, Yoga + Cardio classes expertly created to transform your body and balance your mind in the trendy SoHo district.",300,0,https://www.peerspace.com/pages/listings/591a158d7095140a00a95881,"Lower Manhattan, New York, NY"
Downtown 5 Story Townhouse With Indoor Pool,"5 story 12000 sft Townhouse in Soho. The Townhouse is the flagship showroom for high end audio equipment. We offer an amazing sound experience throughout the house and 2 projectors ideally for presentations and branding opportunities. The Townhouse has been completely renovated and offers an indoor pool, an outdoor terrace and home theater with surround sound.",1500,3,https://www.peerspace.com/pages/listings/58bda75398e6b90a00d35822,"Lower Manhattan, New York, NY"
Architect-designed Luxe Brooklyn Townhouse W/gorgeous Garden,"Warm, but modern Brooklyn townhouse is an exceptional choice for unique shoots and small events.  Architect-designed, award-winning home conveys approachable sophistication and artistic interest.  Large, open concept kitchen, living room with working fireplace with gorgeous marble surround, stunning, luxe dining room, two bedrooms (one master, one kids' with two beds), stunning den/TV room, two full baths (including master with every amenity), and powder room. Flooded with light in every room.  Additional small deck with 1000 foot professionally landscaped garden area with kids' play set.",500,10,https://www.peerspace.com/pages/listings/58c80c997d6da61700933c34,"Crown Heights, Kings County, NY"
Modern Loft Space - Appox 1500 Square Feet,"Over sized loft with high, beamed ceilings. Huge skylight lets in tons of warm sunlight. The space is furnished with mix of mid century modern vintage pieces and design within reach to keep it modern. 

There is a shared full kitchen (no cooking) with an under mount mini refrigerator and a plastic receptacle for ice, microwave and sink. 

Please only photoshoots, events, and other small scale productions. For anything large scale, please email me with details. 

We are close to: 

+ Holland Tunnel (10 minutes)
+ PATH train (10 minute walk)
+ Bus at the corner",65,32,https://www.peerspace.com/pages/listings/58419ecd7d05ad1600ce025a,"The Heights, Jersey City, NJ"
Sprawling Art Gallery In A Historic Upscale Neighborhood,"The 3,000 sq ft space designed by the Japanese architect Sou Fujimoto features multiple reconfigurable and removable floating panels, and is equipped with 6 projectors and a state of the art sound system. Other perks include two refrigerators and two wall-to-ceilings 153""x115"" street level window spaces. 

",300,15,https://www.peerspace.com/pages/listings/572a4909cee65c09000559aa,"Dumbo, Kings County, NY"
Best Rooftop In The City,"We have the best rooftops in Manhattan! There are (5) rooftops with 360 degree views of the city close by MSG and The Empire State Building. Square footage is approximately 4,000 for the multi level rooftops and 1,000 for the studio. 

The owner has been a photographer for over 40 years, so we know what you need (and believe us this is it!!!!). We've been in this space for 20 years and are still finding new angles and perspectives. 

There is absolutely nothing else like this in the city! The whole space has great Feng Shui. Come see for yourself (we recommend scouting before booking). 

Features: 
5 windows to the south
4 windows to the west
All white walls 
High ceilings (10 feet)
Full bathroom with shower
Makeup table
Free Wifi
Landline
AC",400,6,https://www.peerspace.com/pages/listings/5955bda483f2a11700df43bb,"Midtown, New York, NY"
Red Hook Industrial Loft On The Gowanus Canal With Exceptional Natural Light,"The space is 7,000 square feet with 14' ceilings. The windows are 9' x 11' and are located on the northern and eastern perimeters of the space. It is a quiet location. 200 amp power. Loading dock and large freight elevator. Two bathrooms and slop sink in the space. Also 600 square feet of the space has a working drain for any work involving liquids, allowing for easy clean up.",500,12,https://www.peerspace.com/pages/listings/592f2dd296f7bb0b004edb03,"Red Hook, Kings County, NY"
Beautiful Bowery Art Space,"The Space: 
A meticulously appointed full floor, two-bedroom, two-bathroom loft condominium in the heart of The NoHo Historic District. A key locked elevator opens directly into a sun-filled living area boasting nearly 35 feet in length and 22 feet in width. Solid Brazilian Walnut floors, arched windows, exposed brick and soaring ceilings create the perfect mix of warmth and drama.Pass the expansive windowed dining area and enter an open chef's kitchen finished to the highest standards, including Sub Zero, Viking and Bosch appliances. Both bedrooms have gracious dimensions and offer the utmost in privacy. The master bedroom has been outfitted with a custom walk in closet just shy of 8' x 10' which leads into the spa-like master bath. Fixtures include a Kohler Tea-for-Two soaking tub, separate shower and double vanity. Additional amenities include a large utility closet with side by side washer/dryer, a wine cooler, garbage disposal, security system, central heat and air and private sub-level storage. 

The Building: 
Perfectly situated, the space was originally erected as a manufacturing building in the late 1800's. Rumor has it, the building later served as a warehouse for Andy Warhol's artwork. Then, in 2007 it was painstakingly renovated and converted to 5 condominiums. This unbeatable location is at the crossroads of SoHo, Nolita, The East Village and Greenwich Village.

Apartment Features:
Dining Area; AC: Central; Heat: Central; Window: Oversized Windows; Washer/ Dryer; Full Floor; Floor-through Apartment; High Ceilings; Dressing Area; Laundry Room; WIC; Wood Floors; Exposed Brick; Alarm Security System;Kitchen: Total Renovation/ Windowed; Chefs / Gourmet; Stainless Steel Appliances; Dishwasher; Bathroom: Total Renovation/ Stall Shower.

Equipment:
Photo/Video:
Canon 50 mm Lens
Canon 35 mm Lens
Canon D60 DSLR Camera
Profoto Air Remote TTL-C Transmitter for Canon
Profoto D2 500Ws Air TTL Monolight
2 Profoto C12 16.4 (5m) AC Power Cables for D2 Moonlight
Profoto B2 250 Air TTL 
Manfrotto Tripod  290 Xtra Aluminum with 3 way Pan and Tilt Head
Profoto Speed Ring Adapter (RFI to Profoto)(100501)
Promedia Gear Boomerang X (for all cameras) 
Profoto B2 Boomerang Flash Adapter
Profoto 100711 WideZoom 40-70 Degree Reflector
Profoto 4’ RFi Octa Softbox for Flash 
Profoto OCF Color Gel Starter Kit & Color Gel Effects Pack (for B2)
Flashpoint 2-Light SoftBox Kit, Stands and Carrying Case
Rosco Calcolor Kit 12’ filter Gels, 33 sheets
Glow Portable Reflector 40” by 60” in in Black, White, Zebra gold, Silver, Transparent 
Flashpoint Portable Reflector Bracket with 6.5’ Light Stand
Flashpoint 10’ C Stand on Turtle Base Kit, 40” Grip Arm and two 3’ Gobo Heads
Avenger 12.7 feet Maxi Kit Lightstand
Matthews Water Repellant Sandbag
Seamless Photo Paper 107’ wide x 12 yards in Mint Green, Orchid, Yellow, Red, Deep Blue, Black, Grey
Lastolite 10 x 24’ Knitted Background, Wyoming (yearbook)
Savage 8 x 8 Floor Drop, Tile 
24 by 10’ Painted Muslin Background, American Flag
2 sand bags 
Red, Blue and Green Halogen bulbs 
Seamless Stands
 
Mixed Media Art Supplies and more:
An assortment of acrylic paints and painting supplies
Glue, scissors, tape, adhesives, and craft tools
Crayons, pencils, markers, and drawing supplies
Paper and collage materials
Xerox Work Centre 6027
Wacom tablet
2 Dell 24 inch monitors
Epson Projector
Pioneer CDJs 
Bose speakers
Flat screen TV
Assorted props, costumes, wigs and more!",100,9,https://www.peerspace.com/pages/listings/5956bfd86970562000d61286,"Lower Manhattan, New York, NY"
"Open, Inspiring, Creative Space","Located on a quiet street in Williamsburg, Brooklyn Art Library is home to the largest collection of artist sketchbooks in the world. Towering white shelves line walls of the library, holding over 35,000 sketchbooks individually filled by artists from more than 135 countries around the world. White painted brick, high ceilings, and black exposed beams give the library a hip industrial ambience that pairs well with the warmth and personality of the rows upon rows of sketchbooks, creating a distinctive pattern and artistic aesthetic unique to our venue. Brooklyn Art Library is ideal for parties, corporate retreats, workshops, weddings, photo/film shoots, and more.",300,25,https://www.peerspace.com/pages/listings/577d84ac7cdf7209005e7dc0,"Williamsburg, Kings County, NY"
Sexy Downtown Studio With Outdoor Deck,"Featuring an outdoor terrace with downtown views, this studio is a newly-restored chic full-floor loft in NoHo. In a historic neighborhood with stunning natural light, gritty wooden floors and luxurious design moments throughout. Perfect for dinner events, daytime presentations, photo and video production and temporary art exhibitions.",250,0,https://www.peerspace.com/pages/listings/57bb83d793487e1f00285706,"Lower Manhattan, New York, NY"
"Loft Style, Open Studio Feel. Adapts Easily For Your Unique Requests. Corky Bar With Funky Vibes.","Hello! My name is Natalie and I am the Event Manager/Private Party Coordinator for this fabulous bar and unique space in Prospect Lefferts Gardens, Brooklyn. This space is really whatever you need it to be. We designed the place with the intention of bringing all sorts of events, projects, and parties to our Neighborhood. 

We can host anything from small business lunches, art gallery openings, birthday parties, showers, video/photography shoots, and much more! We have created this space to be very versitile, with movable furniture, mood lighting for any occation, funky decor, not to mention our incredible handcrafted cocktail menu. We also have an outdoor seating area and ""garage style font"" that opens up completely, making it feel like an indoor/outdoor event if that is your desire. Perfect for spring and summer time!  

Whether you just need a space, a space and drink combo, or a space, drink, and food all inclusive package, we have you covered! The space can hold a Max of 85 people but please small parties, don’t shy away, we love you too! The rate listened above is just an estimate...Rates very depending on the day and times you need so please send a message about what you are looking for and we can build from there!",100,4,https://www.peerspace.com/pages/listings/5925881c7095140a00a9871e,"Prospect Lefferts Gardens, Kings County, NY"
Old School Ny Pre War Loft,"Former Polka Hall in hip Williamsburg!  

Entire Floor, 1800 sq feet, 4 BR 2 bath Classic Old School NY Loft.

Pre War detail, pressed tin ceiling, hardwood floors, industrial sized kitchen, airy french doors with juliet balcony.   

Great Light and Windows

Entire 3rd Floor of industrial sized building.   No Elevator.

Street parking.

Many Shooting Angles.   Tons of Natural Light.

Located on Grand Street in Williamsburg off the Bedford L Stop.",250,5,https://www.peerspace.com/pages/listings/575f2ca83a13b609007720b2,"Williamsburg, Kings County, NY"
Light Filled Tribeca  Loft,"Beautiful pre-war building across from city Hall Park. 2,000 foot loft with 14 foot ceilings. Lots of light and convenient  to all subways.

The whole loft is very spacious with 14 foot ceilings and 10 foot windows. Loft area has windows that look out on whole apartment....very clean with a mix of country and old world antiques.

2 bedrooms, 2 full bathrooms.",195,8,https://www.peerspace.com/pages/listings/587711b92d443a1f00a1504c,"Lower Manhattan, New York, NY"
Les Designer's Loft,"Amazing loft in the great location!  I take pride in my studio and believe an artists space is a reflection of the person. This space is very calm and inspiring.  This is a very special nice sized, all white space. Elevated claw foot tub, round bed, open and airy. High ceilings with original tin tiles, huge windows. Elevator in building. In the midst of Chinatown/Lower east side.  The space is very special.. A true gem in the city. One of the few lofts left the city with original details.

3rd floor  |  700 sq. feet  |  Loft",115,20,https://www.peerspace.com/pages/listings/58da86ff6191d20b0047ba47,"Lower Manhattan, New York, NY"
